"CountryCode","CountryName","Date"
"BMU","Bermuda",2020-03-02
"IRN","Iran",2020-03-05
"PSE","Palestine",2020-03-05
"ITA","Italy",2020-03-10
"EST","Estonia",2020-03-12
"UKR","Ukraine",2020-03-12
"ALB","Albania",2020-03-13
"VEN","Venezuela",2020-03-13
"BEL","Belgium",2020-03-14
"LUX","Luxembourg",2020-03-15
"PER","Peru",2020-03-15
"PRI","Puerto Rico",2020-03-15
"IRQ","Iraq",2020-03-16
"PRY","Paraguay",2020-03-16
"CRI","Costa Rica",2020-03-17
"ECU","Ecuador",2020-03-17
"FRA","France",2020-03-17
"GTM","Guatemala",2020-03-17
"JOR","Jordan",2020-03-18
"LSO","Lesotho",2020-03-18
"MYS","Malaysia",2020-03-18
"OMN","Oman",2020-03-18
"PHL","Philippines",2020-03-18
"SRB","Serbia",2020-03-18
"HND","Honduras",2020-03-19
"NOR","Norway",2020-03-19
"RUS","Russia",2020-03-19
"ARG","Argentina",2020-03-20
"DOM","Dominican Republic",2020-03-20
"LKA","Sri Lanka",2020-03-20
"MAR","Morocco",2020-03-20
"TUN","Tunisia",2020-03-20
"BFA","Burkina Faso",2020-03-21
"BGR","Bulgaria",2020-03-21
"BOL","Bolivia",2020-03-21
"KOR","South Korea",2020-03-21
"MDG","Madagascar",2020-03-21
"RWA","Rwanda",2020-03-21
"SLV","El Salvador",2020-03-21
"IND","India",2020-03-22
"LBY","Libya",2020-03-22
"ARE","United Arab Emirates",2020-03-23
"CUB","Cuba",2020-03-23
"DJI","Djibouti",2020-03-23
"GBR","United Kingdom",2020-03-23
"GRC","Greece",2020-03-23
"HRV","Croatia",2020-03-23
"NZL","New Zealand",2020-03-23
"PAN","Panama",2020-03-23
"COD","Democratic Republic of Congo",2020-03-24
"CYP","Cyprus",2020-03-24
"EGY","Egypt",2020-03-24
"MDA","Moldova",2020-03-24
"PNG","Papua New Guinea",2020-03-24
"BGD","Bangladesh",2020-03-25
"COL","Colombia",2020-03-25
"KGZ","Kyrgyz Republic",2020-03-25
"MLI","Mali",2020-03-25
"SAU","Saudi Arabia",2020-03-25
"PAK","Pakistan",2020-03-26
"ZAF","South Africa",2020-03-26
"AGO","Angola",2020-03-27
"KEN","Kenya",2020-03-27
"SWZ","Eswatini",2020-03-27
"UZB","Uzbekistan",2020-03-27
"BRB","Barbados",2020-03-28
"HUN","Hungary",2020-03-28
"IRL","Ireland",2020-03-28
"TUR","Turkey",2020-03-28
"VNM","Vietnam",2020-03-28
"ABW","Aruba",2020-03-29
"MRT","Mauritania",2020-03-29
"LAO","Laos",2020-03-30
"MEX","Mexico",2020-03-30
"SVN","Slovenia",2020-03-30
"UGA","Uganda",2020-03-30
"ZWE","Zimbabwe",2020-03-30
"AZE","Azerbaijan",2020-03-31
"POL","Poland",2020-03-31
"CPV","Cape Verde",2020-04-01
"SYR","Syria",2020-04-01
"URY","Uruguay",2020-04-01
"GUY","Guyana",2020-04-03
"CAN","Canada",2020-04-04
"DMA","Dominica",2020-04-04
"SLE","Sierra Leone",2020-04-05
"ISR","Israel",2020-04-07
"SVK","Slovak Republic",2020-04-08
"SYC","Seychelles",2020-04-08
"PRT","Portugal",2020-04-09
"SSD","South Sudan",2020-04-12
"TCD","Chad",2020-04-13
"NAM","Namibia",2020-04-17
"SMR","San Marino",2020-04-17
"NGA","Nigeria",2020-04-23
"IDN","Indonesia",2020-04-24
"MMR","Myanmar",2020-04-26
"SGP","Singapore",2020-04-26
"JAM","Jamaica",2020-04-27
"TTO","Trinidad and Tobago",2020-04-28
